Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2008-01-01,2008-01-05,3,Zhang S.,Rezai A.,149.0,90.0,3-6,3-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Zvonareva V.,Jones S.,22.0,325.0,6-0,6-1,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Muller M.,Pin C.,53.0,76.0,3-6,1-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Krajicek M.,Errani S.,33.0,69.0,5-7,7-6,2-6,Completed
ASB Classic,2008-01-01,2008-01-05,3,Arvidsson S.,Rolle A.,98.0,115.0,6-4,7-5,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Erakovic M.,Barry E.,153.0,387.0,6-1,6-1,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Kanepi K.,Kirilenko M.,75.0,25.0,2-6,6-2,3-6,Completed
ASB Classic,2008-01-01,2008-01-05,3,Pin C.,Paszek T.,76.0,41.0,2-6,3-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Arvidsson S.,Zvonareva V.,98.0,22.0,2-6,3-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Davenport L.,Medina Garrigues A.,72.0,34.0,6-1,4-6,6-0,Completed
ASB Classic,2008-01-01,2008-01-05,3,Errani S.,Parmentier P.,69.0,57.0,6-1,6-2,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Harkleroad A.,Erakovic M.,67.0,153.0,6-7,5-7,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Daniilidou E.,Rezai A.,42.0,90.0,5-7,4-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Srebotnik K.,Meusburger Y.,27.0,65.0,6-0,6-1,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Zakopalova K.,Kirilenko M.,63.0,25.0,4-6,1-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Paszek T.,Kirilenko M.,41.0,25.0,6-1,6-3,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Erakovic M.,Zvonareva V.,153.0,22.0,6-3,2-6,7-6,Completed
ASB Classic,2008-01-01,2008-01-05,3,Errani S.,Davenport L.,69.0,72.0,3-6,3-6,,Completed
ASB Classic,2008-01-01,2008-01-05,3,Srebotnik K.,Rezai A.,27.0,90.0,1-6,3-6,,Completed
