Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2014-01-01,2014-01-04,3,Fichman S.,Muguruza G.,116.0,63.0,6-1,3-6,3-6,Completed
ASB Classic,2014-01-01,2014-01-04,3,Pliskova Kr.,Hampton J.,130.0,28.0,3-6,4-6,,Completed
ASB Classic,2014-01-01,2014-01-04,3,Meusburger Y.,Williams V.,49.0,47.0,6-4,3-6,2-6,Completed
ASB Classic,2014-01-01,2014-01-04,3,Ishizu S.,Goerges J.,204.0,72.0,6-2,3-6,7-5,Completed
ASB Classic,2014-01-01,2014-01-04,3,Larsson J.,Ivanovic A.,84.0,16.0,1-6,1-6,,Completed
ASB Classic,2014-01-01,2014-01-04,3,Konjuh A.,Davis L.,259.0,70.0,6-2,2-6,2-6,Completed
ASB Classic,2014-01-01,2014-01-04,3,Ishizu S.,Flipkens K.,204.0,20.0,4-6,5-7,,Completed
ASB Classic,2014-01-01,2014-01-04,3,Ivanovic A.,Nara K.,16.0,81.0,6-2,6-3,,Completed
ASB Classic,2014-01-01,2014-01-04,3,Hampton J.,Davis L.,28.0,70.0,6-2,4-6,6-4,Completed
ASB Classic,2014-01-01,2014-01-04,3,Muguruza G.,Williams V.,63.0,47.0,3-6,3-6,,Completed
ASB Classic,2014-01-01,2014-01-04,3,Flipkens K.,Ivanovic A.,20.0,16.0,0-6,6-7,,Completed
ASB Classic,2014-01-01,2014-01-04,3,Williams V.,Hampton J.,47.0,28.0,,,,Hampton J. Retired
ASB Classic,2014-01-01,2014-01-04,3,Ivanovic A.,Williams V.,16.0,47.0,6-2,5-7,6-4,Completed
Brisbane International,2014-01-01,2014-01-04,3,Lisicki S.,Voegele S.,15.0,50.0,,,,Lisicki S. Retired
Brisbane International,2014-01-01,2014-01-04,3,Kerber A.,Pavlyuchenkova A.,9.0,26.0,6-2,4-3,,Pavlyuchenkova A. Retired
Brisbane International,2014-01-01,2014-01-04,3,Dellacqua C.,Azarenka V.,142.0,2.0,3-6,1-6,,Completed
