Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2013-01-01,2013-01-05,3,Oprandi R.,Luangnam N.,61.0,211.0,6-0,6-2,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Arruabarrena-Vecino L.,Shvedova Y.,79.0,29.0,3-6,2-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Min G.,Barthel M.,182.0,39.0,1-6,3-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Radwanska A.,Arn G.,4.0,114.0,6-2,6-2,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Erakovic M.,Dubois S.,66.0,140.0,6-2,6-1,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Sevastova A.,Goerges J.,184.0,18.0,3-6,4-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Daniilidou E.,Barthel M.,100.0,39.0,6-7,2-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Parmentier P.,Flipkens K.,65.0,54.0,2-6,2-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Wickmayer Y.,Oprandi R.,23.0,61.0,6-3,6-0,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Larsson J.,Goerges J.,73.0,18.0,7-5,6-7,6-3,Completed
ASB Classic,2013-01-01,2013-01-05,3,Shvedova Y.,Vesnina E.,29.0,68.0,2-6,3-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Bertens K.,Watson H.,63.0,49.0,6-4,3-6,6-3,Completed
ASB Classic,2013-01-01,2013-01-05,3,Erakovic M.,Hampton J.,66.0,70.0,1-6,6-7,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Radwanska A.,Halep S.,4.0,47.0,6-3,6-1,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Barthel M.,Larsson J.,39.0,73.0,6-2,6-1,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Wickmayer Y.,Flipkens K.,23.0,54.0,6-3,6-4,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Vesnina E.,Radwanska A.,68.0,4.0,3-6,3-6,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Bertens K.,Hampton J.,63.0,70.0,1-6,7-6,2-6,Completed
ASB Classic,2013-01-01,2013-01-05,3,Barthel M.,Wickmayer Y.,39.0,23.0,4-6,6-1,6-7,Completed
ASB Classic,2013-01-01,2013-01-05,3,Hampton J.,Radwanska A.,70.0,4.0,6-7,6-7,,Completed
ASB Classic,2013-01-01,2013-01-05,3,Wickmayer Y.,Radwanska A.,23.0,4.0,4-6,4-6,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Errani S.,Hantuchova D.,6.0,32.0,6-4,1-6,5-7,Completed
Brisbane International,2013-01-01,2013-01-05,3,Pavlyuchenkova A.,Kvitova P.,36.0,8.0,6-4,7-5,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Radwanska U.,Pervak K.,31.0,103.0,6-3,2-6,6-7,Completed
Brisbane International,2013-01-01,2013-01-05,3,Cornet A.,Williams S.,44.0,3.0,2-6,2-6,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Kerber A.,Puig M.,5.0,124.0,3-6,6-4,7-6,Completed
Brisbane International,2013-01-01,2013-01-05,3,Stephens S.,Arvidsson S.,38.0,41.0,6-3,6-4,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Tsurenko L.,Gajdosova J.,116.0,183.0,1-6,6-1,6-4,Completed
Brisbane International,2013-01-01,2013-01-05,3,Azarenka V.,Lisicki S.,1.0,37.0,6-3,6-3,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Pavlyuchenkova A.,Kerber A.,36.0,5.0,7-6,7-6,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Tsurenko L.,Hantuchova D.,116.0,32.0,6-3,6-4,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Pervak K.,Azarenka V.,103.0,1.0,1-6,0-6,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Stephens S.,Williams S.,38.0,3.0,4-6,3-6,,Completed
Brisbane International,2013-01-01,2013-01-05,3,Azarenka V.,Williams S.,1.0,3.0,,,,Azarenka V. Retired
Brisbane International,2013-01-01,2013-01-05,3,Tsurenko L.,Pavlyuchenkova A.,116.0,36.0,6-4,1-6,2-6,Completed
Brisbane International,2013-01-01,2013-01-05,3,Williams S.,Pavlyuchenkova A.,3.0,36.0,6-2,6-1,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Pegula J.,Zhou Y.M.,150.0,177.0,4-6,2-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Li N.,Minella M.,7.0,77.0,6-4,6-0,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Svitolina E.,Zakopalova K.,131.0,28.0,4-6,3-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Jovanovski B.,Duan Y.Y.,56.0,132.0,6-3,6-1,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Niculescu M.,Robson L.,58.0,53.0,6-2,6-3,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Peng S.,Morita A.,40.0,85.0,6-1,6-1,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Hsieh S.W.,Beck A.,25.0,78.0,3-6,0-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Zhou Y.M.,Chang K.C.,177.0,86.0,4-6,6-2,7-6,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Li N.,Cohen J.,7.0,129.0,6-3,6-4,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Voegele S.,Bartoli M.,92.0,11.0,5-7,4-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Peng S.,Beck A.,40.0,78.0,2-6,7-5,6-2,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Li N.,Jovanovski B.,7.0,56.0,6-3,6-3,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Zakopalova K.,Bartoli M.,28.0,11.0,6-3,6-2,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Zhou Y.M.,Niculescu M.,177.0,58.0,4-6,2-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Niculescu M.,Zakopalova K.,58.0,28.0,1-6,3-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Peng S.,Li N.,40.0,7.0,4-6,0-6,,Completed
Shenzhen Longgang Gemdale Open,2013-01-01,2013-01-05,3,Li N.,Zakopalova K.,7.0,28.0,6-3,1-6,7-5,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Suarez Navarro C.,Govortsova O.,34.0,57.0,2-6,1-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Robson L.,Stephens S.,50.0,29.0,4-6,6-7,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Oprandi R.,Gajdosova J.,59.0,167.0,4-6,5-7,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Begu I.,Pironkova T.,53.0,39.0,3-6,4-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Scheepers C.,Cornet A.,62.0,40.0,6-1,6-2,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Arruabarrena-Vecino L.,Halep S.,78.0,45.0,3-6,2-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Soler Espinosa S.,Vesnina E.,80.0,68.0,2-6,4-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Davis L.,Bobusic B.,91.0,307.0,1-6,6-2,7-6,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Minella M.,Niculescu M.,77.0,54.0,4-6,3-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Cirstea S.,Bratchikova N.,27.0,86.0,3-6,7-5,6-2,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Shvedova Y.,Dominguez Lino L.,28.0,46.0,6-4,6-1,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Hsieh S.W.,Peng S.,26.0,33.0,2-6,7-6,6-7,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Flipkens K.,Schiavone F.,51.0,44.0,2-6,6-3,7-6,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Barty A.,Barthel M.,176.0,32.0,6-2,0-6,1-6,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Jovanovski B.,Torro Flor M.T.,56.0,98.0,6-0,7-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Babos T.,Zakopalova K.,72.0,23.0,4-6,3-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Vesnina E.,Shvedova Y.,68.0,28.0,4-6,6-2,6-1,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Cirstea S.,Davis L.,27.0,91.0,1-6,3-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Barthel M.,Scheepers C.,32.0,62.0,7-6,7-5,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Stephens S.,Halep S.,29.0,45.0,6-4,6-0,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Govortsova O.,Gajdosova J.,57.0,167.0,3-6,1-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Jovanovski B.,Flipkens K.,56.0,51.0,3-6,2-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Pironkova T.,Zakopalova K.,39.0,23.0,3-6,6-4,6-2,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Niculescu M.,Peng S.,54.0,33.0,3-6,6-4,6-4,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Gajdosova J.,Vesnina E.,167.0,68.0,3-6,2-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Pironkova T.,Barthel M.,39.0,32.0,3-6,3-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Davis L.,Stephens S.,91.0,29.0,3-6,6-4,5-7,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Flipkens K.,Niculescu M.,51.0,54.0,2-6,6-4,6-0,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Stephens S.,Vesnina E.,29.0,68.0,2-6,2-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Flipkens K.,Barthel M.,51.0,32.0,4-6,4-6,,Completed
Moorilla Hobart International,2013-01-06,2013-01-12,3,Vesnina E.,Barthel M.,68.0,32.0,6-3,6-4,,Completed
Apai International,2013-01-06,2013-01-11,3,Radwanska U.,Wozniacki C.,31.0,10.0,1-6,2-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Kvitova P.,Cibulkova D.,8.0,15.0,1-6,1-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Kirilenko M.,Rogowska O.,14.0,116.0,7-5,6-2,,Completed
Apai International,2013-01-06,2013-01-11,3,Lepchenko V.,Makarova E.,21.0,19.0,4-6,6-4,1-6,Completed
Apai International,2013-01-06,2013-01-11,3,Petrova N.,Vinci R.,12.0,16.0,5-7,5-7,,Completed
Apai International,2013-01-06,2013-01-11,3,Jankovic J.,Paszek T.,22.0,30.0,6-2,7-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Safarova L.,Keys M.,17.0,135.0,2-6,1-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Voskoboeva G.,Wickmayer Y.,90.0,20.0,3-6,7-6,6-2,Completed
Apai International,2013-01-06,2013-01-11,3,Hantuchova D.,Morita A.,43.0,81.0,6-1,3-6,3-6,Completed
Apai International,2013-01-06,2013-01-11,3,Li N.,Mchale C.,6.0,36.0,7-6,7-5,,Completed
Apai International,2013-01-06,2013-01-11,3,Goerges J.,Kuznetsova S.,18.0,85.0,6-3,3-6,3-6,Completed
Apai International,2013-01-06,2013-01-11,3,Pliskova Ka.,Errani S.,120.0,7.0,1-6,3-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Date Krumm K.,Dellacqua C.,112.0,99.0,6-4,6-1,,Completed
Apai International,2013-01-06,2013-01-11,3,Stosur S.,Zheng J.,9.0,42.0,3-6,7-6,4-6,Completed
Apai International,2013-01-06,2013-01-11,3,Radwanska A.,Date Krumm K.,4.0,112.0,6-4,6-3,,Completed
Apai International,2013-01-06,2013-01-11,3,Errani S.,Kirilenko M.,7.0,14.0,6-1,6-1,,Completed
Apai International,2013-01-06,2013-01-11,3,Morita A.,Li N.,81.0,6.0,1-6,0-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Cibulkova D.,Makarova E.,15.0,19.0,7-6,1-6,7-6,Completed
Apai International,2013-01-06,2013-01-11,3,Jankovic J.,Vinci R.,22.0,16.0,6-3,4-6,6-7,Completed
Apai International,2013-01-06,2013-01-11,3,Kerber A.,Voskoboeva G.,5.0,90.0,6-2,7-5,,Completed
Apai International,2013-01-06,2013-01-11,3,Wozniacki C.,Kuznetsova S.,10.0,85.0,6-7,6-1,2-6,Completed
Apai International,2013-01-06,2013-01-11,3,Zheng J.,Keys M.,42.0,135.0,0-6,4-6,,Completed
Apai International,2013-01-06,2013-01-11,3,Vinci R.,Radwanska A.,16.0,4.0,4-6,5-7,,Completed
Apai International,2013-01-06,2013-01-11,3,Cibulkova D.,Errani S.,15.0,7.0,6-2,6-1,,Completed
Apai International,2013-01-06,2013-01-11,3,Keys M.,Li N.,135.0,6.0,6-4,6-7,2-6,Completed
Apai International,2013-01-06,2013-01-11,3,Kuznetsova S.,Kerber A.,85.0,5.0,3-6,5-7,,Completed
Apai International,2013-01-06,2013-01-11,3,Radwanska A.,Li N.,4.0,6.0,6-3,6-4,,Completed
Apai International,2013-01-06,2013-01-11,3,Cibulkova D.,Kerber A.,15.0,5.0,6-2,4-6,6-3,Completed
Apai International,2013-01-06,2013-01-11,3,Radwanska A.,Cibulkova D.,4.0,15.0,6-0,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Goerges J.,Dushevina V.,18.0,147.0,7-5,2-6,6-4,Completed
Australian Open,2013-01-14,2013-01-26,3,Jones S.,Pliskova Kr.,183.0,106.0,3-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Puchkova O.,Sharapova M.,107.0,2.0,0-6,0-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Li N.,Karatantcheva S.,6.0,113.0,6-1,6-3,,Completed
Australian Open,2013-01-14,2013-01-26,3,Oprandi R.,Pironkova T.,61.0,37.0,4-6,7-5,6-2,Completed
Australian Open,2013-01-14,2013-01-26,3,Parmentier P.,Govortsova O.,67.0,58.0,6-2,3-6,2-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Vandeweghe C.,Cirstea S.,99.0,29.0,4-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Williams V.,Voskoboeva G.,26.0,80.0,6-1,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Chang K.C.,Stosur S.,86.0,9.0,6-7,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Radwanska A.,Bobusic B.,4.0,307.0,7-5,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Cornet A.,Erakovic M.,41.0,68.0,7-5,6-7,10-8,Completed
Australian Open,2013-01-14,2013-01-26,3,Makarova E.,Larcherde Brito M.,19.0,131.0,6-2,7-5,,Completed
Australian Open,2013-01-14,2013-01-26,3,Bratchikova N.,Flipkens K.,87.0,43.0,4-6,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Martic P.,Doi M.,62.0,92.0,3-6,4-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Zakopalova K.,Scheepers C.,22.0,65.0,6-1,6-2,,Completed
Australian Open,2013-01-14,2013-01-26,3,Jankovic J.,Larsson J.,21.0,69.0,6-2,6-2,,Completed
Australian Open,2013-01-14,2013-01-26,3,Koehler M.J.,Knapp K.,129.0,124.0,3-6,6-3,6-3,Completed
Australian Open,2013-01-14,2013-01-26,3,Voegele S.,Paszek T.,89.0,30.0,6-4,4-6,5-7,Completed
Australian Open,2013-01-14,2013-01-26,3,Zhang Y.,Zheng J.,356.0,40.0,1-6,6-3,4-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Rus A.,Begu I.,70.0,55.0,4-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Dolonc V.,Rogowska O.,20.0,117.0,5-7,7-5,8-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Kerber A.,Svitolina E.,5.0,127.0,6-2,6-4,,Completed
Australian Open,2013-01-14,2013-01-26,3,Bartoli M.,Medina Garrigues A.,11.0,52.0,6-2,6-4,,Completed
Australian Open,2013-01-14,2013-01-26,3,Savinykh V.,Minella M.,159.0,78.0,7-6,6-1,,Completed
Australian Open,2013-01-14,2013-01-26,3,Barty A.,Cibulkova D.,174.0,14.0,6-3,0-6,1-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Hradecka L.,Bertens K.,51.0,60.0,6-2,7-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Watson H.,Cadantu A.,50.0,91.0,2-6,6-3,6-2,Completed
Australian Open,2013-01-14,2013-01-26,3,Foretz S.,Giorgi C.,101.0,74.0,6-2,6-3,,Completed
Australian Open,2013-01-14,2013-01-26,3,Chan Y.J.,Hantuchova D.,118.0,44.0,6-1,1-6,6-1,Completed
Australian Open,2013-01-14,2013-01-26,3,Barthel M.,Pervak K.,38.0,82.0,5-7,6-2,4-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Keys M.,Dellacqua C.,105.0,102.0,6-4,7-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Czink M.,Ivanovic A.,97.0,13.0,2-6,1-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Vesnina E.,Garcia C.,47.0,163.0,3-6,6-3,6-1,Completed
Australian Open,2013-01-14,2013-01-26,3,Dominguez Lino L.,Kuznetsova S.,46.0,75.0,2-6,1-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Peng S.,Marino R.,32.0,426.0,6-3,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Panova A.,Peer S.,93.0,90.0,4-6,6-1,3-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Date Krumm K.,Petrova N.,100.0,12.0,6-2,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Lisicki S.,Wozniacki C.,36.0,10.0,6-2,3-6,3-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Arruabarrena-Vecino L.,Hsieh S.W.,77.0,27.0,6-7,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,King V.,Kirilenko M.,76.0,15.0,4-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Errani S.,Suarez Navarro C.,7.0,33.0,4-6,4-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Hercog P.,Lepchenko V.,79.0,20.0,4-6,1-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Schiavone F.,Kvitova P.,48.0,8.0,4-6,6-2,2-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Vinci R.,Soler Espinosa S.,16.0,83.0,6-3,7-5,,Completed
Australian Open,2013-01-14,2013-01-26,3,Azarenka V.,Niculescu M.,1.0,49.0,6-1,6-4,,Completed
Australian Open,2013-01-14,2013-01-26,3,Putintseva Y.,Mchale C.,122.0,35.0,6-1,6-7,6-2,Completed
Australian Open,2013-01-14,2013-01-26,3,Gallovits E.,Williams S.,110.0,3.0,0-6,0-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Beck A.,Shvedova Y.,71.0,28.0,6-2,6-7,6-3,Completed
Australian Open,2013-01-14,2013-01-26,3,Lucic M.,Safarova L.,108.0,17.0,6-7,4-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Jovanovski B.,Torro Flor M.T.,56.0,96.0,2-6,6-4,6-3,Completed
Australian Open,2013-01-14,2013-01-26,3,Rybarikova M.,Muguruza G.,64.0,112.0,6-4,1-6,1-12,Completed
Australian Open,2013-01-14,2013-01-26,3,Vekic D.,Hlavackova A.,111.0,66.0,6-1,6-2,,Completed
Australian Open,2013-01-14,2013-01-26,3,Oudin M.,Robson L.,84.0,53.0,2-6,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Stephens S.,Halep S.,25.0,45.0,6-1,6-1,,Completed
Australian Open,2013-01-14,2013-01-26,3,Mladenovic K.,Babos T.,98.0,73.0,6-3,4-6,11-9,Completed
Australian Open,2013-01-14,2013-01-26,3,Gavrilova D.,Davis L.,223.0,81.0,6-3,6-7,6-4,Completed
Australian Open,2013-01-14,2013-01-26,3,Pliskova Ka.,Daniilidou E.,119.0,94.0,5-7,7-5,4-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Tatishvili A.,Morita A.,54.0,72.0,3-6,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Amanmuradova A.,Johansson M.,199.0,88.0,6-4,6-2,,Completed
Australian Open,2013-01-14,2013-01-26,3,Arvidsson S.,Kumkhum L.,39.0,201.0,6-7,4-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Cepelova J.,Arn G.,115.0,114.0,6-2,6-2,,Completed
Australian Open,2013-01-14,2013-01-26,3,Pavlyuchenkova A.,Tsurenko L.,23.0,85.0,5-7,6-3,5-7,Completed
Australian Open,2013-01-14,2013-01-26,3,Radwanska U.,Hampton J.,31.0,63.0,2-6,4-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Wickmayer Y.,Gajdosova J.,24.0,166.0,6-1,7-5,,Completed
Australian Open,2013-01-14,2013-01-26,3,Begu I.,Radwanska A.,55.0,4.0,3-6,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Savinykh V.,Cibulkova D.,159.0,14.0,7-6,6-4,,Completed
Australian Open,2013-01-14,2013-01-26,3,Zakopalova K.,Flipkens K.,22.0,43.0,1-6,0-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Kerber A.,Hradecka L.,5.0,51.0,6-3,6-1,,Completed
Australian Open,2013-01-14,2013-01-26,3,Oprandi R.,Goerges J.,61.0,18.0,3-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Li N.,Govortsova O.,6.0,58.0,6-2,7-5,,Completed
Australian Open,2013-01-14,2013-01-26,3,Keys M.,Paszek T.,105.0,30.0,6-2,6-1,,Completed
Australian Open,2013-01-14,2013-01-26,3,Makarova E.,Foretz S.,19.0,101.0,6-3,6-3,,Completed
Australian Open,2013-01-14,2013-01-26,3,Bartoli M.,Dolonc V.,11.0,20.0,7-5,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Stosur S.,Zheng J.,9.0,40.0,4-6,6-1,5-7,Completed
Australian Open,2013-01-14,2013-01-26,3,Pervak K.,Watson H.,82.0,50.0,6-4,6-7,2-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Jankovic J.,Koehler M.J.,21.0,129.0,2-6,7-6,6-2,Completed
Australian Open,2013-01-14,2013-01-26,3,Pliskova Kr.,Cirstea S.,106.0,29.0,6-1,3-6,2-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Ivanovic A.,Chan Y.J.,13.0,118.0,7-5,1-6,6-4,Completed
Australian Open,2013-01-14,2013-01-26,3,Doi M.,Sharapova M.,92.0,2.0,0-6,0-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Williams V.,Cornet A.,26.0,41.0,6-3,6-3,,Completed
Australian Open,2013-01-14,2013-01-26,3,Vinci R.,Amanmuradova A.,16.0,199.0,6-3,6-2,,Completed
Australian Open,2013-01-14,2013-01-26,3,Morita A.,Beck A.,72.0,71.0,6-2,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Lepchenko V.,Vesnina E.,20.0,47.0,4-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Peng S.,Kirilenko M.,32.0,15.0,5-7,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Azarenka V.,Daniilidou E.,1.0,94.0,6-1,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Putintseva Y.,Suarez Navarro C.,122.0,33.0,6-1,6-7,2-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Williams S.,Muguruza G.,3.0,112.0,6-2,6-0,,Completed
Australian Open,2013-01-14,2013-01-26,3,Kumkhum L.,Hampton J.,201.0,63.0,1-6,2-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Cepelova J.,Wickmayer Y.,115.0,24.0,6-7,5-7,,Completed
Australian Open,2013-01-14,2013-01-26,3,Gavrilova D.,Tsurenko L.,223.0,85.0,5-7,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Hsieh S.W.,Kuznetsova S.,27.0,75.0,2-6,1-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Date Krumm K.,Peer S.,100.0,90.0,6-2,7-5,,Completed
Australian Open,2013-01-14,2013-01-26,3,Wozniacki C.,Vekic D.,10.0,111.0,6-1,6-4,,Completed
Australian Open,2013-01-14,2013-01-26,3,Safarova L.,Jovanovski B.,17.0,56.0,5-7,5-7,,Completed
Australian Open,2013-01-14,2013-01-26,3,Mladenovic K.,Stephens S.,98.0,25.0,4-6,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Robson L.,Kvitova P.,53.0,8.0,2-6,6-3,11-9,Completed
Australian Open,2013-01-14,2013-01-26,3,Zheng J.,Goerges J.,40.0,18.0,3-6,6-1,5-7,Completed
Australian Open,2013-01-14,2013-01-26,3,Keys M.,Kerber A.,105.0,5.0,2-6,5-7,,Completed
Australian Open,2013-01-14,2013-01-26,3,Makarova E.,Bartoli M.,19.0,11.0,6-7,6-3,6-4,Completed
Australian Open,2013-01-14,2013-01-26,3,Watson H.,Radwanska A.,50.0,4.0,3-6,1-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Ivanovic A.,Jankovic J.,13.0,21.0,7-5,6-3,,Completed
Australian Open,2013-01-14,2013-01-26,3,Li N.,Cirstea S.,6.0,29.0,6-4,6-1,,Completed
Australian Open,2013-01-14,2013-01-26,3,Flipkens K.,Savinykh V.,43.0,159.0,6-2,4-6,6-3,Completed
Australian Open,2013-01-14,2013-01-26,3,Williams V.,Sharapova M.,26.0,2.0,1-6,3-6,,Completed
Australian Open,2013-01-14,2013-01-26,3,Hampton J.,Azarenka V.,63.0,1.0,4-6,6-4,2-6,Completed
Australian Open,2013-01-14,2013-01-26,3,Kuznetsova S.,Suarez Navarro C.,75.0,33.0,6-2,4-6,6-3,Completed
Australian Open,2013-01-14,2013-01-26,3,Wickmayer Y.,Kirilenko M.,24.0,15.0,6-7,3-6,,Completed
