Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2015-01-04,2015-01-10,3,Davis L.,Rogers S.,54.0,72.0,1-6,6-4,6-3,Completed
ASB Classic,2015-01-04,2015-01-10,3,Wickmayer Y.,Townsend T.,74.0,103.0,5-7,6-3,0-6,Completed
ASB Classic,2015-01-04,2015-01-10,3,Nara K.,Bertens K.,45.0,68.0,6-3,6-2,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Stephens S.,Soler Espinosa S.,35.0,65.0,6-3,6-1,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Errani S.,Hantuchova D.,14.0,62.0,3-6,2-6,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Scheepers C.,Zahlavova Strycova B.,77.0,26.0,1-6,6-3,2-6,Completed
ASB Classic,2015-01-04,2015-01-10,3,Barthel M.,Konjuh A.,41.0,99.0,2-6,1-6,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Tatishvili A.,Goerges J.,144.0,75.0,1-6,4-6,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Vinci R.,Vandeweghe C.,44.0,38.0,7-5,2-6,3-6,Completed
ASB Classic,2015-01-04,2015-01-10,3,Radwanska U.,Schiavone F.,179.0,78.0,6-4,7-5,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Hradecka L.,Kuznetsova S.,153.0,25.0,3-6,7-6,6-4,Completed
ASB Classic,2015-01-04,2015-01-10,3,Vesnina E.,Mladenovic K.,64.0,67.0,7-6,6-2,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Larsson J.,Flipkens K.,71.0,49.0,6-7,6-1,6-7,Completed
ASB Classic,2015-01-04,2015-01-10,3,Cepelova J.,Williams V.,57.0,19.0,1-6,0-6,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Glushko J.,Wozniacki C.,154.0,8.0,3-6,2-6,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Puig M.,Erakovic M.,59.0,76.0,5-7,6-2,4-6,Completed
ASB Classic,2015-01-04,2015-01-10,3,Vandeweghe C.,Flipkens K.,38.0,49.0,6-1,6-7,7-5,Completed
ASB Classic,2015-01-04,2015-01-10,3,Vesnina E.,Konjuh A.,64.0,99.0,6-3,6-1,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Williams V.,Nara K.,19.0,45.0,6-4,6-1,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Hradecka L.,Goerges J.,153.0,75.0,3-6,5-7,,Completed
ASB Classic,2015-01-04,2015-01-10,3,Radwanska U.,Hantuchova D.,179.0,62.0,1-6,6-3,6-1,Completed
ASB Classic,2015-01-04,2015-01-10,3,Erakovic M.,Zahlavova Strycova B.,76.0,26.0,0-6,6-2,4-6,Completed
ASB Classic,2015-01-04,2015-01-10,3,Townsend T.,Wozniacki C.,103.0,8.0,1-6,6-7,,Completed
