Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2011-01-02,2011-01-08,3,Peng S.,Larsson J.,72.0,69.0,6-1,6-3,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Jones S.,Kuznetsova S.,253.0,27.0,4-6,2-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Dominguez Lino L.,Voracova R.,85.0,81.0,6-4,6-7,0-6,Completed
ASB Classic,2011-01-02,2011-01-08,3,Brianti A.,Sharapova M.,91.0,18.0,2-6,3-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Keothavong A.,Gallovits E.,121.0,77.0,6-7,6-4,6-0,Completed
ASB Classic,2011-01-02,2011-01-08,3,Date Krumm K.,Bondarenko K.,51.0,99.0,4-6,3-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Oprandi R.,Suarez Navarro C.,66.0,57.0,3-6,6-7,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Cornet A.,Zahlavova S.,79.0,95.0,3-6,7-5,6-0,Completed
ASB Classic,2011-01-02,2011-01-08,3,Ondraskova Z.,Arn G.,83.0,88.0,1-6,0-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Molinero F.,Lisicki S.,185.0,175.0,1-6,3-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Vesnina E.,Erakovic M.,52.0,333.0,6-2,6-2,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Watson H.,Lertcheewakarn N.,176.0,187.0,6-1,6-1,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Morita A.,Halep S.,73.0,84.0,0-6,6-7,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Safina D.,Wickmayer Y.,63.0,23.0,3-6,7-6,1-6,Completed
ASB Classic,2011-01-02,2011-01-08,3,Arvidsson S.,Paszek T.,53.0,89.0,6-3,6-1,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Goerges J.,Medina Garrigues A.,40.0,71.0,6-4,6-0,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Peng S.,Kuznetsova S.,72.0,27.0,2-6,6-4,6-4,Completed
ASB Classic,2011-01-02,2011-01-08,3,Halep S.,Vesnina E.,84.0,52.0,2-6,6-4,4-0,Vesnina E. Retired
ASB Classic,2011-01-02,2011-01-08,3,Suarez Navarro C.,Watson H.,57.0,176.0,6-7,1-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Arvidsson S.,Arn G.,53.0,88.0,6-4,5-7,5-7,Completed
ASB Classic,2011-01-02,2011-01-08,3,Voracova R.,Sharapova M.,81.0,18.0,3-6,5-7,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Lisicki S.,Wickmayer Y.,175.0,23.0,2-6,6-3,2-6,Completed
ASB Classic,2011-01-02,2011-01-08,3,Keothavong A.,Bondarenko K.,121.0,99.0,5-7,3-6,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Goerges J.,Cornet A.,40.0,79.0,6-2,6-4,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Wickmayer Y.,Halep S.,23.0,84.0,6-0,6-2,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Sharapova M.,Arn G.,18.0,88.0,2-6,5-7,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Peng S.,Watson H.,72.0,176.0,6-4,7-5,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Bondarenko K.,Goerges J.,99.0,40.0,7-5,2-6,2-6,Completed
ASB Classic,2011-01-02,2011-01-08,3,Peng S.,Wickmayer Y.,72.0,23.0,6-3,6-7,5-7,Completed
ASB Classic,2011-01-02,2011-01-08,3,Arn G.,Goerges J.,88.0,40.0,7-6,6-3,,Completed
ASB Classic,2011-01-02,2011-01-08,3,Wickmayer Y.,Arn G.,23.0,88.0,3-6,3-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Kleybanova A.,Peers S.,25.0,154.0,6-3,4-6,3-6,Completed
Brisbane International,2011-01-02,2011-01-08,3,Rodionova A.,Jovanovski B.,64.0,76.0,6-2,2-6,3-6,Completed
Brisbane International,2011-01-02,2011-01-08,3,Safarova L.,Amanmuradova A.,33.0,70.0,6-3,3-6,6-2,Completed
Brisbane International,2011-01-02,2011-01-08,3,Pavlyuchenkova A.,Kudryavtseva A.,21.0,60.0,6-2,6-7,6-3,Completed
Brisbane International,2011-01-02,2011-01-08,3,Groth J.,Parra Santonja A.,42.0,65.0,6-2,7-5,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Ferguson S.,Peer S.,122.0,13.0,4-6,2-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Stosur S.,Hradecka L.,6.0,110.0,7-6,6-1,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Petrova N.,Kvitova P.,15.0,34.0,6-7,3-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,King V.,Bartoli M.,86.0,16.0,1-6,2-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Chakvetadze A.,Pervak K.,56.0,97.0,2-6,2-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Cibulkova D.,Errani S.,31.0,43.0,6-3,6-0,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Petkovic A.,Dulgheru A.,32.0,29.0,6-3,6-0,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Zahlavova Strycova B.,Tatishvili A.,67.0,134.0,7-5,6-2,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Benesova I.,Hercog P.,59.0,47.0,6-2,7-5,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Pivovarova A.,Dokic J.,124.0,138.0,4-6,3-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Mchale C.,Vinci R.,109.0,38.0,2-6,6-7,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Peer S.,Safarova L.,13.0,33.0,6-3,1-6,5-7,Completed
Brisbane International,2011-01-02,2011-01-08,3,Jovanovski B.,Pavlyuchenkova A.,76.0,21.0,2-6,5-7,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Stosur S.,Groth J.,6.0,42.0,2-6,4-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Vinci R.,Cibulkova D.,38.0,31.0,2-6,5-7,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Peers S.,Zahlavova Strycova B.,154.0,67.0,4-6,1-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Petkovic A.,Dokic J.,32.0,138.0,6-0,6-1,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Kvitova P.,Pervak K.,34.0,97.0,1-6,6-4,6-2,Completed
Brisbane International,2011-01-02,2011-01-08,3,Benesova I.,Bartoli M.,59.0,16.0,1-6,6-3,0-6,Completed
Brisbane International,2011-01-02,2011-01-08,3,Zahlavova Strycova B.,Bartoli M.,67.0,16.0,2-6,1-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Safarova L.,Pavlyuchenkova A.,33.0,21.0,2-6,7-6,3-6,Completed
Brisbane International,2011-01-02,2011-01-08,3,Cibulkova D.,Kvitova P.,31.0,34.0,0-6,4-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Petkovic A.,Groth J.,32.0,42.0,6-3,6-4,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Bartoli M.,Petkovic A.,16.0,32.0,4-6,2-6,,Completed
Brisbane International,2011-01-02,2011-01-08,3,Pavlyuchenkova A.,Kvitova P.,21.0,34.0,4-6,6-4,2-6,Completed
Brisbane International,2011-01-02,2011-01-08,3,Kvitova P.,Petkovic A.,34.0,32.0,6-1,6-3,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Amanmuradova A.,Morita A.,72.0,74.0,6-3,1-6,6-7,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Vinci R.,Oprandi R.,39.0,69.0,7-6,6-3,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Errani S.,Chakvetadze A.,43.0,56.0,7-6,6-3,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Kerber A.,Date-Krumm K.,46.0,52.0,7-5,7-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Larsson J.,Groth J.,71.0,40.0,1-6,3-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Parra Santonja A.,Vesnina E.,67.0,53.0,2-6,1-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Pironkova T.,Peng S.,35.0,62.0,6-2,3-6,2-6,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Paszek T.,Rogowska O.,92.0,259.0,6-1,6-3,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Brianti A.,Suarez Navarro C.,91.0,57.0,4-6,6-3,6-4,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Govortsova O.,Peers S.,76.0,151.0,6-4,6-2,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Arvidsson S.,Molik A.,51.0,135.0,5-7,3-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Oudin M.,Zakopalova K.,63.0,42.0,3-6,6-7,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Rybarikova M.,Kudryavtseva A.,104.0,61.0,3-6,4-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Mattek-Sands B.,Pavlyuchenkova A.,59.0,18.0,6-2,,,Pavlyuchenkova A. Retired
Moorilla Hobart International,2011-01-09,2011-01-15,3,Tanasugarn T.,Baltacha E.,64.0,55.0,3-6,3-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Safina D.,Bartoli M.,65.0,17.0,0-6,1-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Groth J.,Paszek T.,40.0,92.0,6-4,7-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Molik A.,Errani S.,135.0,43.0,1-6,0-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Govortsova O.,Peng S.,76.0,62.0,6-2,4-6,0-6,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Brianti A.,Zakopalova K.,91.0,42.0,6-1,4-6,2-6,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Morita A.,Mattek-Sands B.,74.0,59.0,3-6,1-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Kerber A.,Kudryavtseva A.,46.0,61.0,6-3,6-4,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Vinci R.,Baltacha E.,39.0,55.0,6-3,6-4,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Vesnina E.,Bartoli M.,53.0,17.0,4-6,1-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Errani S.,Peng S.,43.0,62.0,1-6,3-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Vinci R.,Groth J.,39.0,40.0,1-6,2-6,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Mattek-Sands B.,Kerber A.,59.0,46.0,6-4,6-4,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Zakopalova K.,Bartoli M.,42.0,17.0,6-4,6-2,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Mattek-Sands B.,Peng S.,59.0,62.0,4-6,6-1,6-1,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Groth J.,Zakopalova K.,40.0,42.0,6-3,6-2,,Completed
Moorilla Hobart International,2011-01-09,2011-01-15,3,Groth J.,Mattek-Sands B.,40.0,59.0,6-4,6-3,,Completed
Medibank International,2011-01-09,2011-01-14,3,Dulgheru A.,Clijsters K.,30.0,3.0,1-6,2-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Kuznetsova S.,Dokic J.,25.0,130.0,6-2,6-2,,Completed
Medibank International,2011-01-09,2011-01-14,3,Azarenka V.,Makarova E.,10.0,49.0,2-6,6-2,6-4,Completed
Medibank International,2011-01-09,2011-01-14,3,Bammer S.,Peer S.,70.0,12.0,3-6,7-5,1-6,Completed
Medibank International,2011-01-09,2011-01-14,3,Li N.,Rodionova An.,11.0,66.0,6-1,6-2,,Completed
Medibank International,2011-01-09,2011-01-14,3,Kirilenko M.,Cibulkova D.,20.0,32.0,3-6,3-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Martinez-Sanchez M.J.,Hantuchova D.,29.0,31.0,6-2,6-4,,Completed
Medibank International,2011-01-09,2011-01-14,3,Hradecka L.,Pennetta F.,110.0,24.0,4-6,3-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Zahlavova S.,Razzano V.,97.0,116.0,6-7,2-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Petrova N.,Zahlavova Strycova B.,15.0,68.0,2-6,2-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Jovanovski B.,Kanepi K.,77.0,22.0,6-4,6-4,,Completed
Medibank International,2011-01-09,2011-01-14,3,Schiavone F.,Kleybanova A.,7.0,26.0,7-6,1-6,2-6,Completed
Medibank International,2011-01-09,2011-01-14,3,Stosur S.,Wickmayer Y.,6.0,23.0,7-5,6-4,,Completed
Medibank International,2011-01-09,2011-01-14,3,Jankovic J.,Rezai A.,8.0,19.0,5-7,6-2,3-6,Completed
Medibank International,2011-01-09,2011-01-14,3,Razzano V.,Li N.,116.0,11.0,4-6,6-1,4-6,Completed
Medibank International,2011-01-09,2011-01-14,3,Wozniacki C.,Cibulkova D.,1.0,32.0,3-6,3-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Kleybanova A.,Martinez-Sanchez M.J.,26.0,29.0,6-2,6-4,,Completed
Medibank International,2011-01-09,2011-01-14,3,Zahlavova Strycova B.,Clijsters K.,68.0,3.0,1-6,4-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Azarenka V.,Peer S.,10.0,12.0,7-5,6-3,,Completed
Medibank International,2011-01-09,2011-01-14,3,Pennetta F.,Zvonareva V.,24.0,2.0,7-5,7-5,,Completed
Medibank International,2011-01-09,2011-01-14,3,Kuznetsova S.,Stosur S.,25.0,6.0,3-6,6-3,6-4,Completed
Medibank International,2011-01-09,2011-01-14,3,Jovanovski B.,Rezai A.,77.0,19.0,7-6,7-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Li N.,Kuznetsova S.,11.0,25.0,3-6,7-6,6-3,Completed
Medibank International,2011-01-09,2011-01-14,3,Pennetta F.,Jovanovski B.,24.0,77.0,4-6,1-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Clijsters K.,Azarenka V.,3.0,10.0,6-3,6-2,,Completed
Medibank International,2011-01-09,2011-01-14,3,Kleybanova A.,Cibulkova D.,26.0,32.0,6-3,5-7,6-2,Completed
Medibank International,2011-01-09,2011-01-14,3,Jovanovski B.,Li N.,77.0,11.0,6-7,3-6,,Completed
Medibank International,2011-01-09,2011-01-14,3,Kleybanova A.,Clijsters K.,26.0,3.0,6-4,3-6,6-7,Completed
Medibank International,2011-01-09,2011-01-14,3,Clijsters K.,Li N.,3.0,11.0,6-7,3-6,,Completed
Australian Open,2011-01-17,2011-01-29,3,Goerges J.,Gallovits E.,38.0,78.0,6-3,4-6,6-3,Completed
Australian Open,2011-01-17,2011-01-29,3,Hradecka L.,Brianti A.,111.0,87.0,4-6,5-7,,Completed
Australian Open,2011-01-17,2011-01-29,3,Rybarikova M.,Kanepi K.,106.0,21.0,6-2,4-6,3-6,Completed
Australian Open,2011-01-17,2011-01-29,3,Cibulkova D.,Kerber A.,32.0,45.0,6-2,6-7,6-4,Completed
Australian Open,2011-01-17,2011-01-29,3,Schiavone F.,Parra Santonja A.,7.0,68.0,6-7,6-2,6-4,Completed
