Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2010-01-03,2010-01-09,3,Wickmayer Y.,Goerges J.,16.0,77.0,6-3,7-5,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Craybas J.,Pennetta F.,76.0,12.0,2-6,4-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Cibulkova D.,Dulgheru A.,28.0,52.0,6-0,6-3,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Date Krumm K.,Chakvetadze A.,69.0,67.0,6-1,6-2,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Medina Garrigues A.,Rybarikova M.,27.0,44.0,2-6,3-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Coin J.,Rezai A.,74.0,25.0,4-6,3-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Hercog P.,Peer S.,68.0,30.0,5-7,3-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Cohen Aloro S.,Schiavone F.,122.0,17.0,2-6,3-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Suarez Navarro C.,Gallovits E.,33.0,104.0,6-4,7-5,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Erakovic M.,Cornet A.,227.0,49.0,4-6,3-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Razzano V.,Niculescu M.,19.0,103.0,7-5,6-4,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Mirza S.,Voegele,57.0,75.0,5-7,6-1,7-5,Completed
ASB Classic,2010-01-03,2010-01-09,3,Li N.,Kanepi K.,15.0,58.0,1-6,3-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Baltacha E.,Olaru I.,84.0,72.0,2-6,2-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Vesnina E.,Brianti A.,23.0,73.0,6-1,6-4,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Kirilenko M.,Malek T.,62.0,71.0,6-2,6-3,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Peer S.,Rybarikova M.,30.0,44.0,6-1,6-0,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Pennetta F.,Suarez Navarro C.,12.0,33.0,6-2,6-2,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Olaru I.,Wickmayer Y.,72.0,16.0,2-6,2-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Schiavone F.,Mirza S.,17.0,57.0,6-0,6-3,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Kirilenko M.,Kanepi K.,62.0,58.0,6-2,6-3,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Vesnina E.,Cornet A.,23.0,49.0,1-6,1-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Cibulkova D.,Rezai A.,28.0,25.0,6-3,6-4,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Date Krumm K.,Razzano V.,69.0,19.0,3-6,6-3,6-2,Completed
ASB Classic,2010-01-03,2010-01-09,3,Peer S.,Kirilenko M.,30.0,62.0,6-0,3-6,6-1,Completed
ASB Classic,2010-01-03,2010-01-09,3,Date Krumm K.,Wickmayer Y.,69.0,16.0,2-6,2-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Cibulkova D.,Pennetta F.,28.0,12.0,1-6,2-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Schiavone F.,Cornet A.,17.0,49.0,6-2,6-3,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Wickmayer Y.,Peer S.,16.0,30.0,6-4,7-5,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Schiavone F.,Pennetta F.,17.0,12.0,3-6,0-6,,Completed
ASB Classic,2010-01-03,2010-01-09,3,Wickmayer Y.,Pennetta F.,16.0,12.0,6-3,6-2,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Clijsters K.,Garbin T.,18.0,59.0,6-2,6-1,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Molik A.,Makarova E.,198.0,60.0,6-4,1-6,6-4,Completed
Brisbane International,2010-01-03,2010-01-09,3,King V.,Bammer S.,80.0,54.0,6-4,6-1,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Zahlavova Strycova B.,Govortsova O.,66.0,50.0,6-4,6-1,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Petkovic A.,Benesova I.,55.0,38.0,6-7,6-2,6-1,Completed
Brisbane International,2010-01-03,2010-01-09,3,Czink M.,Hradecka L.,37.0,64.0,6-4,3-6,6-3,Completed
Brisbane International,2010-01-03,2010-01-09,3,Vinci R.,Errani S.,63.0,47.0,6-4,2-6,6-2,Completed
Brisbane International,2010-01-03,2010-01-09,3,Bacsinszky T.,Kudryavtseva A.,53.0,89.0,6-4,7-6,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Dokic J.,Ivanovic A.,56.0,21.0,5-7,6-1,3-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Safarova L.,Groenefeld A.L.,41.0,65.0,6-7,6-4,6-1,Completed
Brisbane International,2010-01-03,2010-01-09,3,Karatantcheva S.,Dellacqua C.,132.0,1002.0,6-2,0-6,7-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Kleybanova A.,Pavlyuchenkova A.,29.0,40.0,4-6,6-2,2-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Henin J.,Petrova N.,,20.0,7-5,7-5,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Peng S.,Szavay A.,46.0,39.0,7-5,4-6,2-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Voskoboeva G.,Wozniak A.,106.0,34.0,2-6,2-6,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Ivanova E.,Hantuchova D.,141.0,24.0,1-6,7-6,1-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,King V.,Petkovic A.,80.0,55.0,6-4,2-6,1-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Czink M.,Zahlavova Strycova B.,37.0,66.0,6-3,2-6,6-1,Completed
Brisbane International,2010-01-03,2010-01-09,3,Clijsters K.,Molik A.,18.0,198.0,6-0,6-3,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Bacsinszky T.,Ivanovic A.,53.0,21.0,2-6,6-2,4-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Szavay A.,Hantuchova D.,39.0,24.0,3-6,1-6,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Pavlyuchenkova A.,Vinci R.,40.0,63.0,1-6,6-4,6-1,Completed
Brisbane International,2010-01-03,2010-01-09,3,Safarova L.,Wozniak A.,41.0,34.0,6-3,6-1,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Karatantcheva S.,Henin J.,132.0,,4-6,3-6,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Ivanovic A.,Pavlyuchenkova A.,21.0,40.0,6-2,7-6,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Petkovic A.,Hantuchova D.,55.0,24.0,6-4,6-2,,Completed
Brisbane International,2010-01-03,2010-01-09,3,Henin J.,Czink M.,,37.0,6-2,3-6,7-6,Completed
Brisbane International,2010-01-03,2010-01-09,3,Clijsters K.,Safarova L.,18.0,41.0,6-1,0-6,6-4,Completed
Brisbane International,2010-01-03,2010-01-09,3,Henin J.,Ivanovic A.,,21.0,6-3,6-2,,Completed
