Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2009-01-04,2009-01-10,3,Rezai A.,Daniilidou E.,97.0,152.0,6-3,3-6,6-3,Completed
ASB Classic,2009-01-04,2009-01-10,3,Kudryavtseva A.,Vaidisova N.,68.0,40.0,6-7,6-4,5-7,Completed
ASB Classic,2009-01-04,2009-01-10,3,Zahlavova Strycova B.,Razzano V.,74.0,57.0,1-6,6-2,6-3,Completed
ASB Classic,2009-01-04,2009-01-10,3,Craybas J.,Date Krumm K.,64.0,186.0,6-4,6-3,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Zakopalova K.,Gallovits E.,70.0,75.0,6-3,2-6,5-7,Completed
ASB Classic,2009-01-04,2009-01-10,3,Cetkovska P.,Peer S.,81.0,39.0,6-7,2-6,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Wozniak A.,Rybarikova M.,33.0,58.0,6-3,6-7,7-5,Completed
ASB Classic,2009-01-04,2009-01-10,3,Santangelo M.,Medina Garrigues A.,131.0,22.0,5-7,0-6,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Nakamura A.,Vesnina E.,144.0,76.0,1-6,0-6,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Dechy N.,Suarez Navarro C.,67.0,46.0,4-6,0-6,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Brianti A.,Wozniacki C.,172.0,12.0,1-6,0-6,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Dementieva E.,Chan Y.J.,4.0,73.0,7-5,6-3,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Morita A.,Domachowska M.,83.0,63.0,6-4,4-6,6-4,Completed
ASB Classic,2009-01-04,2009-01-10,3,Llagostera Vives N.,Erakovic M.,65.0,69.0,5-7,4-6,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Keothavong A.,Lucic M.,60.0,435.0,6-4,6-2,,Completed
ASB Classic,2009-01-04,2009-01-10,3,Barrois K.,Pavlyuchenkova A.,89.0,43.0,3-6,1-6,,Completed
