Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2012-01-02,2012-01-08,3,Mchale C.,Dulgheru A.,43.0,65.0,6-2,6-3,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Cirstea S.,Pennetta F.,60.0,20.0,4-6,6-7,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Brianti A.,Hradecka L.,70.0,52.0,4-6,6-3,2-6,Completed
ASB Classic,2012-01-02,2012-01-08,3,Errani S.,Larsson J.,45.0,59.0,6-1,6-1,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Jones S.,Baltacha E.,274.0,51.0,2-6,6-4,3-6,Completed
ASB Classic,2012-01-02,2012-01-08,3,Razzano V.,Lisicki S.,83.0,15.0,4-6,4-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Dokic J.,Barthel M.,66.0,69.0,6-7,1-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Kuznetsova S.,Riske A.,19.0,136.0,6-3,6-2,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Hampton J.,Niculescu M.,144.0,30.0,6-7,1-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Wickmayer Y.,Pliskova Ka.,26.0,145.0,6-3,6-4,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Vinci R.,Marino R.,23.0,64.0,7-5,6-4,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Peng S.,Rezai A.,17.0,115.0,4-6,6-3,6-4,Completed
ASB Classic,2012-01-02,2012-01-08,3,Morita A.,Zheng J.,49.0,48.0,6-4,3-6,4-6,Completed
ASB Classic,2012-01-02,2012-01-08,3,Vesnina E.,Rybarikova M.,57.0,71.0,6-3,6-2,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Goerges J.,Arn G.,21.0,63.0,7-5,3-6,6-4,Completed
ASB Classic,2012-01-02,2012-01-08,3,Kerber A.,Erakovic M.,32.0,61.0,4-6,6-4,6-4,Completed
ASB Classic,2012-01-02,2012-01-08,3,Barthel M.,Lisicki S.,69.0,15.0,6-7,6-3,3-6,Completed
ASB Classic,2012-01-02,2012-01-08,3,Vesnina E.,Vinci R.,57.0,23.0,6-3,6-4,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Baltacha E.,Pennetta F.,51.0,20.0,4-6,2-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Goerges J.,Kerber A.,21.0,32.0,2-6,3-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Hradecka L.,Peng S.,52.0,17.0,6-4,6-3,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Niculescu M.,Zheng J.,30.0,48.0,0-6,2-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Mchale C.,Kuznetsova S.,43.0,19.0,1-6,1-6,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Wickmayer Y.,Errani S.,26.0,45.0,6-4,1-6,1-6,Completed
ASB Classic,2012-01-02,2012-01-08,3,Pennetta F.,Vesnina E.,20.0,57.0,6-2,6-1,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Lisicki S.,Kerber A.,15.0,32.0,4-6,3-4,,Lisicki S. Retired
ASB Classic,2012-01-02,2012-01-08,3,Zheng J.,Hradecka L.,48.0,52.0,6-2,6-3,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Kuznetsova S.,Errani S.,19.0,45.0,6-4,6-3,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Pennetta F.,Kerber A.,20.0,32.0,6-1,6-2,,Completed
ASB Classic,2012-01-02,2012-01-08,3,Zheng J.,Kuznetsova S.,48.0,19.0,2-6,6-3,6-3,Completed
ASB Classic,2012-01-02,2012-01-08,3,Pennetta F.,Zheng J.,20.0,48.0,6-2,3-6,0-2,Pennetta F. Retired
Brisbane International,2012-01-01,2012-01-07,3,Schiavone F.,Pervak K.,11.0,39.0,4-4,,,Pervak K. Retired
Brisbane International,2012-01-01,2012-01-07,3,Safarova L.,Benesova I.,25.0,54.0,6-2,5-7,5-7,Completed
Brisbane International,2012-01-01,2012-01-07,3,Dellacqua C.,Jovanovski B.,134.0,76.0,4-6,2-6,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Clijsters K.,Halep S.,13.0,47.0,6-1,6-4,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Hantuchova D.,Cibulkova D.,24.0,18.0,3-6,6-4,6-3,Completed
Brisbane International,2012-01-01,2012-01-07,3,Dushevina V.,Voskoboeva G.,86.0,58.0,0-6,0-6,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Paszek T.,Ivanovic A.,42.0,22.0,3-6,3-6,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Rogowska O.,Zahlavova Strycova B.,167.0,44.0,2-6,6-4,4-6,Completed
Brisbane International,2012-01-01,2012-01-07,3,King V.,Czink M.,75.0,143.0,6-3,6-4,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Williams S.,Scheepers C.,12.0,38.0,6-2,6-3,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Petkovic A.,Peer S.,10.0,37.0,7-6,1-6,6-3,Completed
Brisbane International,2012-01-01,2012-01-07,3,Hercog P.,Pavlyuchenkova A.,36.0,16.0,1-6,1-4,,Hercog P. Retired
Brisbane International,2012-01-01,2012-01-07,3,Kanepi K.,Panova A.,34.0,121.0,7-5,3-6,6-2,Completed
Brisbane International,2012-01-01,2012-01-07,3,Bratchikova N.,Zakopalova K.,154.0,41.0,1-6,6-4,7-5,Completed
Brisbane International,2012-01-01,2012-01-07,3,Jankovic J.,Suarez Navarro C.,14.0,56.0,6-4,6-2,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Yakimova A.,Stosur S.,62.0,6.0,2-6,3-6,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Petkovic A.,Zahlavova Strycova B.,10.0,44.0,7-6,6-0,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Schiavone F.,Voskoboeva G.,11.0,58.0,6-4,6-4,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Hantuchova D.,King V.,24.0,75.0,4-6,6-2,6-3,Completed
Brisbane International,2012-01-01,2012-01-07,3,Ivanovic A.,Clijsters K.,22.0,13.0,1-6,6-1,3-6,Completed
Brisbane International,2012-01-01,2012-01-07,3,Pavlyuchenkova A.,Kanepi K.,16.0,34.0,0-6,3-6,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Benesova I.,Stosur S.,54.0,6.0,6-4,6-2,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Jankovic J.,Bratchikova N.,14.0,154.0,6-3,6-2,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Williams S.,Jovanovski B.,12.0,76.0,6-2,6-4,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Hantuchova D.,Williams S.,24.0,12.0,,,,Williams S. Retired
Brisbane International,2012-01-01,2012-01-07,3,Jankovic J.,Schiavone F.,14.0,11.0,7-5,6-7,3-6,Completed
Brisbane International,2012-01-01,2012-01-07,3,Petkovic A.,Kanepi K.,10.0,34.0,1-6,6-7,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Clijsters K.,Benesova I.,13.0,54.0,6-3,6-2,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Hantuchova D.,Clijsters K.,24.0,13.0,6-7,3-1,,Clijsters K. Retired
Brisbane International,2012-01-01,2012-01-07,3,Schiavone F.,Kanepi K.,11.0,34.0,3-6,0-6,,Completed
Brisbane International,2012-01-01,2012-01-07,3,Hantuchova D.,Kanepi K.,24.0,34.0,2-6,1-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Cirstea S.,Pervak K.,60.0,40.0,6-2,7-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Zakopalova K.,Halep S.,42.0,57.0,6-4,2-6,5-7,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Niculescu M.,Chakvetadze A.,32.0,234.0,0-6,4-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Baltacha E.,Begu I.,53.0,41.0,2-6,5-7,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Rodionova An.,Arn G.,107.0,92.0,6-4,7-5,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Larsson J.,Errani S.,59.0,47.0,3-6,3-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Vesnina E.,Kerber A.,50.0,31.0,2-6,4-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Voskoboeva G.,Dellacqua C.,55.0,135.0,5-7,6-4,4-6,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Watson H.,Pironkova T.,106.0,48.0,6-7,6-3,6-7,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Barthel M.,Oprandi R.,64.0,82.0,6-1,6-4,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Erakovic M.,Wickmayer Y.,61.0,29.0,5-7,4-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Mattek-Sands B.,Barty A.,56.0,674.0,6-2,6-2,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Morita A.,Gajdosova J.,51.0,34.0,3-6,4-6,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Jones S.,Barrois K.,272.0,89.0,6-1,6-4,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Peer S.,Hradecka L.,37.0,49.0,6-3,6-1,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Suarez Navarro C.,Medina Garrigues A.,58.0,27.0,2-6,6-7,,Completed
Moorilla Hobart International,2012-01-08,2012-01-14,3,Chakvetadze A.,Pironkova T.,234.0,48.0,6-3,6-2,,Completed
